"","ID","Survey","Stren","Mod","Mild","Motive1","Motive2","Motive3","Motive4","Motive5","Motive6","Motive7","Motive8","Motive9","Motive10","Motive11","Motive12","Motive13","Motive14","Motive15","Motive16","Motive17","Motive18","Motive19","Barr1","Barr2","Barr3","Barr4","Barr5","Barr6","Barr7","Barr8","Barr9","Barr10","Barr11","Barr12","Barr13","Barr14","Barr15","Barr16","Barr17","Barr18","Barr19","Barr20","Sex","Month","Year","Educat","EducatOther","Marist","Income","Employ"
"1",62,"works",0,0,2,0,4,4,4,0,0,4,4,0,4,0,0,4,4,4,0,4,4,0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1934,2,NA,2,4,4
"2",63,"works",3,0,3,3,3,3,3,0,0,2,3,0,3,0,0,1,3,3,0,3,3,0,2,4,1,2,4,2,2,2,2,2,2,2,4,2,4,2,2,2,2,2,1,9,1939,3,NA,2,5,4
"3",69,"works",0,3,0,0,0,4,4,0,0,0,4,0,4,0,0,0,4,4,0,0,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1933,4,NA,5,5,4
"4",70,"works",0,0,0,0,2,4,2,0,0,0,4,0,4,0,0,0,4,4,0,2,4,0,1,4,1,2,2,2,3,NA,1,1,1,1,2,2,2,1,1,1,2,1,NA,8,1930,4,NA,5,NA,4
"5",71,"works",0,2,7,0,4,4,2,0,0,0,4,0,4,0,0,0,4,2,2,2,4,0,2,1,1,1,1,4,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1933,3,NA,2,8,4
"6",72,"works",0,2,3,4,4,4,3,0,3,2,4,0,3,2,0,3,4,4,2,2,3,0,1,4,1,1,2,1,2,2,1,1,2,1,4,2,2,1,1,1,1,1,1,11,1942,4,NA,2,5,4
"7",73,"works",0,0,0,0,0,4,4,0,0,0,4,0,4,0,0,0,4,4,0,0,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,6,1924,2,"Buisness",5,NA,4
"8",74,"works",0,5,3,0,2,4,2,0,0,2,3,0,2,0,0,0,3,3,0,2,2,0,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,9,1933,2,NA,2,5,4
"9",76,"works",0,3,4,0,4,4,2,0,0,0,4,0,4,0,0,0,4,4,0,3,4,0,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,8,1936,4,NA,5,5,4
"10",78,"works",0,0,2,2,1,3,2,0,0,0,2,NA,4,0,0,0,4,3,0,0,3,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,0,8,1929,4,NA,2,NA,4
"11",79,"works",0,2,NA,2,2,2,0,0,2,0,4,0,0,0,0,0,4,0,2,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1927,3,NA,2,9,3
"12",80,"works",0,4,7,2,3,4,0,3,2,2,4,0,2,0,0,2,3,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,8,1924,4,NA,2,9,4
"13",81,"works",0,2,2,0,2,4,2,0,0,0,4,0,4,0,0,0,4,4,0,2,4,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,8,1941,4,NA,2,8,4
"14",82,"works",0,2,0,0,4,4,4,0,0,0,4,0,4,0,0,0,4,4,0,4,4,0,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1926,4,NA,5,5,4
"15",83,"works",0,6,3,0,1,4,4,0,1,0,4,0,4,0,0,0,4,4,0,2,4,0,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,11,1930,2,NA,5,4,4
"16",84,"works",0,0,7,4,2,4,4,0,4,0,4,0,4,0,0,0,4,4,0,0,4,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1927,5,NA,2,NA,4
"17",85,"works",0,1,3,0,3,4,4,0,0,3,4,0,4,0,0,3,4,4,0,3,4,0,2,2,2,2,2,3,2,2,2,1,1,1,2,2,3,1,1,1,3,2,1,5,1931,4,"Register",2,8,4
"18",86,"works",0,2,3,0,2,4,4,0,2,0,4,0,3,0,0,0,4,3,2,2,4,0,1,4,3,1,2,4,3,NA,1,1,1,1,2,3,3,2,2,3,2,2,1,6,1927,3,NA,5,5,4
"19",87,"works",0,5,0,0,4,4,4,0,0,0,4,0,4,0,0,0,4,4,0,4,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,10,1940,4,NA,3,4,4
"20",89,"works",0,0,4,0,0,4,2,0,0,0,4,0,4,0,0,0,4,4,0,2,4,0,3,2,2,1,1,2,2,2,2,1,1,1,2,2,3,2,1,1,2,1,1,1,1930,4,NA,2,6,4
"21",94,"works",0,1,3,2,3,4,4,0,2,3,4,0,4,2,0,2,3,3,0,3,4,0,1,5,3,1,1,1,5,NA,1,1,2,2,5,3,2,4,1,1,4,5,1,3,1920,4,NA,5,6,4
"22",95,"works",0,7,7,0,4,4,4,0,0,2,4,0,4,0,0,4,4,4,0,4,4,0,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1943,6,NA,2,7,1
"23",96,"works",3,0,9,2,1,4,2,0,0,0,3,0,3,0,0,2,3,3,0,3,3,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1935,6,NA,4,4,4
"24",100,"works",0,0,5,0,1,4,4,0,0,0,4,0,4,0,0,0,4,4,0,2,4,0,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,11,1930,4,"Register",5,5,4
"25",101,"works",0,5,0,0,3,4,3,0,0,0,4,0,4,0,0,2,4,4,0,4,4,0,1,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,6,1944,5,NA,2,6,4
"26",102,"works",0,12,10,0,4,4,4,0,0,4,4,0,4,0,0,4,4,4,0,4,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,11,1942,2,NA,2,5,4
"27",103,"works",0,5,5,2,3,4,3,0,1,0,4,0,3,0,0,0,4,4,0,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,10,1939,5,NA,2,9,4
"28",108,"works",0,3,7,0,0,3,1,0,0,0,3,0,4,0,0,1,4,4,0,3,4,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,1927,6,NA,2,8,4
"29",109,"works",2,3,6,0,0,4,4,0,0,0,4,0,4,0,0,0,4,4,0,4,4,0,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,1,2,1,0,11,1929,2,NA,2,NA,4
"30",110,"works",0,4,0,3,0,0,2,3,2,0,3,3,3,0,4,0,0,3,0,0,3,0,2,3,2,2,4,3,3,3,NA,2,4,2,3,4,3,2,2,2,2,2,0,11,1947,3,NA,2,8,1
"31",111,"works",0,4,1,3,3,3,3,0,3,3,4,0,3,2,0,4,4,3,3,2,3,0,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,0,8,1936,3,NA,2,3,4
"32",114,"works",4,1,7,0,2,4,3,0,0,1,4,NA,3,0,0,0,4,3,0,4,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,1939,3,NA,2,4,4
"33",115,"works",3,2,5,0,2,4,4,0,1,0,4,0,4,0,0,0,4,4,0,3,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1944,2,NA,2,1,4
"34",118,"works",0,5,0,2,4,4,3,0,0,0,4,0,3,0,0,4,4,3,0,3,4,0,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,0,1,1933,2,NA,2,NA,4
"35",1,"nonactiv",0,0,0,NA,4,4,4,NA,NA,NA,4,NA,4,NA,NA,NA,4,4,NA,NA,4,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1937,NA,NA,NA,NA,NA
"36",8,"nonactiv",0,0,0,0,0,2,NA,NA,0,0,2,0,2,0,0,0,2,2,0,0,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1922,1,NA,5,2,4
"37",12,"nonactiv",0,0,0,0,2,NA,NA,0,4,0,0,0,0,NA,NA,0,4,2,0,0,4,0,2,2,4,2,4,4,4,2,2,2,2,3,3,4,2,3,4,3,3,3,1,8,1936,1,NA,2,4,4
"38",20,"nonactiv",0,0,0,0,2,2,2,0,0,2,2,0,2,0,0,4,3,3,0,3,3,0,2,3,4,2,3,2,2,NA,1,2,3,1,3,2,3,4,1,3,2,2,1,5,1937,4,NA,5,2,4
"39",24,"nonactiv",0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,0,1,0,0,0,0,3,4,5,4,1,1,1,5,1,1,1,1,1,5,4,5,3,1,5,5,3,1,2,1927,2,NA,2,5,4
"40",28,"nonactiv",0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1927,1,NA,5,NA,NA
"41",29,"nonactiv",0,0,1,2,0,4,2,NA,0,4,3,0,4,0,0,2,4,4,0,2,4,0,1,4,1,1,1,NA,4,1,1,2,1,1,4,1,4,1,4,5,1,3,0,3,1922,4,"Agricult",2,4,4
"42",34,"nonactiv",0,0,5,0,4,4,4,0,0,4,4,0,4,0,0,4,4,4,0,4,4,0,1,1,NA,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1937,2,NA,5,3,4
"43",117,"rural",0,0,7,1,4,4,2,2,1,0,2,2,0,0,4,2,2,2,0,0,2,0,1,5,2,4,1,3,5,1,1,3,2,2,4,3,4,1,3,2,5,3,0,6,1939,1,NA,2,NA,4
"44",118,"rural",0,7,7,0,0,4,2,0,0,0,2,0,4,0,0,0,4,4,0,2,4,0,3,4,5,1,1,1,1,1,1,1,1,1,4,4,1,1,4,1,3,4,1,6,1940,2,NA,6,NA,4
"45",119,"rural",0,2,3,2,3,1,2,0,2,0,2,0,1,0,3,0,3,2,0,0,2,0,1,4,4,2,2,2,4,4,2,2,2,2,4,2,4,2,2,4,4,2,1,10,1945,4,NA,2,3,4
"46",120,"rural",0,0,2,0,0,1,0,2,0,0,2,0,1,0,2,0,2,2,0,0,3,1,3,4,4,3,3,4,3,2,2,3,2,2,3,4,4,2,2,4,4,4,0,10,1934,1,NA,2,3,4
"47",121,"rural",5,3,5,0,0,4,3,0,0,0,4,0,4,0,0,0,4,3,0,3,4,0,1,1,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,3,1,9,1946,1,"Grade ni",2,NA,2
"48",122,"rural",7,7,7,0,3,4,4,0,0,0,4,0,3,0,0,0,4,3,0,0,4,0,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,0,6,1941,1,NA,2,NA,2
"49",123,"rural",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,5,3,3,3,3,5,3,3,3,3,3,5,3,3,3,3,3,3,3,1,12,1926,2,NA,5,NA,4
"50",124,"rural",0,0,0,0,0,2,0,4,0,0,2,2,0,0,2,0,2,2,0,0,0,0,3,5,5,2,1,1,5,1,1,2,1,3,5,3,5,3,3,5,5,3,1,1,1919,1,"Grade te",5,2,4
"51",126,"rural",3,7,7,0,0,4,4,0,0,0,4,0,4,0,0,0,4,4,0,4,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,9,1944,4,NA,2,5,2
"52",127,"rural",0,0,0,0,4,4,2,2,0,4,4,0,4,0,0,4,4,4,0,0,4,0,2,3,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1938,1,NA,2,2,4
"53",128,"rural",0,0,0,0,4,4,2,2,0,4,4,0,4,0,0,4,4,4,0,0,4,0,2,3,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,0,7,1934,1,NA,2,2,4
"54",131,"rural",1,4,4,2,2,2,1,0,3,0,1,0,2,1,0,1,2,2,2,0,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,0,9,1943,6,NA,2,7,4
"55",132,"rural",6,6,6,0,3,4,4,0,0,3,4,0,4,0,0,3,4,4,0,4,4,0,1,1,1,1,1,3,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,9,1946,5,NA,2,7,4
"56",133,"rural",0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,1,4,NA,NA,2,NA,4,1,NA,1,1,2,4,NA,4,NA,NA,NA,4,NA,1,12,1945,5,NA,2,NA,3
"57",134,"rural",0,4,0,1,2,3,3,0,0,1,3,0,2,0,0,1,3,3,0,2,3,0,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,1,2,0,3,1944,6,NA,2,5,4
"58",137,"rural",0,3,12,0,4,4,2,0,0,2,4,0,4,0,0,2,4,NA,2,4,4,0,3,2,NA,3,3,2,4,2,1,1,2,1,4,5,4,5,NA,3,4,4,1,8,1945,2,NA,2,NA,4
"59",138,"rural",0,13,8,0,4,4,2,0,0,2,4,0,4,0,0,2,2,4,0,2,4,0,1,4,2,1,3,3,3,2,2,3,2,2,3,4,2,2,3,4,1,3,0,2,1938,4,NA,2,3,4
"60",140,"rural",0,0,6,1,3,3,1,0,1,NA,3,0,1,1,0,1,3,2,1,3,2,0,2,4,3,3,2,3,4,2,3,4,3,2,2,3,2,2,3,3,1,3,1,5,1946,2,NA,2,5,4
"61",141,"rural",0,2,1,2,3,4,3,0,3,2,4,0,2,1,0,2,4,3,2,2,3,0,3,4,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,3,2,2,0,10,1943,5,NA,2,5,4
"62",142,"rural",3,4,7,0,1,0,1,0,0,1,0,0,0,0,0,2,4,4,0,4,4,0,1,3,4,3,4,4,3,2,2,3,2,1,2,4,2,2,3,4,1,4,0,8,1944,5,NA,2,4,4
